panel,LightGBM,RandomForest,XGBoost
+X,73054.88116834887,63958.061499910524,69498.74250567764
+Z,28550.34706525936,22153.03494224636,25323.279269549297
-X,53167.55271651179,45438.4608304841,51343.00277566245
-Z,68713.52206616603,57134.383867923185,63611.03866278749
Y,68515.24064833634,62616.62496886028,70010.53550685705
