panel,LightGBM,RandomForest,XGBoost
+X,156828.70144696676,136748.123870911,147399.24038802975
+Z,55141.23837998537,45870.81068033491,51540.12828209729
-X,114208.96934651805,100688.98882669606,118429.87791624352
-Z,114415.27405173519,106590.28518248802,117332.08918613393
Y,137557.79583489272,133502.70813332312,150610.28653057912
