Panel,BestModel,ResidualMean,ResidualStd,AbsResidual95pct,ArmThresh,DisarmThresh
Y,RandomForest,22634.165619955595,141086.1450547068,370638.5612935112,445892.60078407597,234263.3832020158
+X,RandomForest,27482.614092747222,138646.47173429187,325970.86344019626,443422.02929562284,235452.32169418503
-Z,RandomForest,12801.758534065591,110066.3617565284,256232.26261267997,343000.84380365076,177901.3011688582
-X,RandomForest,6040.2319969994915,103558.95003310603,269178.07589972776,316717.08209631755,161378.65704665854
+Z,Ridge,-759.9782572595649,42644.254360298255,87221.61485250283,127172.78482363521,63206.40328318782
