,"Stage 2 (+ V,I)",Stage 3 (+ Temp),Stage 4 (+ Derivatives)
LightGBM,-3.196035132438156,-7.707331685001032,12.493747950077578
RandomForest,0.5717104956332908,0.6919379359640607,9.935761409375177
XGBoost,,0.7745486565566818,17.588267384185976
