Panel,"ARIMA(2,0,1)","ARIMAX(2,0,1)",ElasticNet,ExtraTrees,FourierRidge,LightGBM,RandomForest,XGBoost
+X,439056.3804369485,120055.01929248702,75122.76513618509,71124.69883723585,442596.45212199725,74351.38607812443,69545.93943971228,75898.76288496375
+Z,86997.32436877664,23879.992554844328,17880.35489826392,16061.253776352896,104821.29672199253,18168.704542742274,16768.95300564425,16984.98038899546
-X,295228.1426780165,82861.64353180797,51604.82824790226,48017.757562616425,297310.4847544629,47823.013750320795,43264.860451046414,52263.43724349167
-Z,302047.0654685753,77813.82420914779,67788.78608169215,56768.92935190277,314912.667450192,58917.25911289258,56903.47332749368,59185.00545413282
Y,381595.82888839534,109768.87162193464,68503.04686017096,70803.83328262033,382259.4195883338,71846.10540385499,66568.29938877776,77638.41222919922
