Panel,"ARIMA(2,0,1)",ElasticNet,ExtraTrees,LightGBM,RandomForest,XGBoost
+X,645242.3779461064,127421.6629876647,157264.8554695246,165782.88195160058,147493.5149756855,166235.72988089456
+Z,116613.38960817349,38276.49899728927,34203.296781546094,38987.22026876738,35284.209998400984,39436.34414982198
-X,430362.0630336168,103274.75332263576,108293.42689662665,106291.537519096,102324.36911746999,123125.13942349347
-Z,407761.6823056661,114146.8420328623,108751.68758324279,115072.62575945082,114360.17429786499,118776.60365685572
Y,584086.0677660328,126675.86807791221,150298.86713420987,151858.3296296149,143093.88881865892,169076.08022863697
