Panel,LightGBM,RandomForest,Ridge
+X,166183.36445423684,141231.78585873282,123371.29220354516
+Z,60062.673125767666,46358.78411727151,42615.83177998587
-X,110502.8101836354,103649.61848558327,101420.46125617917
-Z,108809.89928442553,110718.10112258024,107553.87462124553
Y,149571.9624165059,142775.2035525349,123323.27725181256
