Panel,"ARIMA(2,0,1)",LightGBM,Naive,RandomForest
+X,645242.3779461064,165782.88195160058,205266.50664623926,147493.5149756855
+Z,116613.38960817349,38987.22026876738,46433.03298963689,35284.209998400984
-X,430362.0630336168,106291.537519096,164777.75394229684,102324.36911746999
-Z,407761.6823056661,115072.62575945082,129366.94484754227,114360.17429786499
Y,584086.0677660328,151858.3296296149,209658.59287582152,143093.88881865892
