Panel,LightGBM,RandomForest,Ridge
+X,73566.9439864325,63808.584906524215,66128.50062646919
+Z,29817.59108263524,21092.305127929976,17892.94750623614
-X,49241.71039810911,45321.38491997739,49268.186135404125
-Z,57241.63908609386,56493.99637135664,60456.16959081799
Y,69903.24232663531,64888.532155598325,65680.79754857025
