,Stage 1 (Power only),"Stage 2 (+ V,I)",Stage 3 (+ Temp),Stage 4 (+ Derivatives)
LightGBM,54221.29377758702,55954.22537598121,58400.30873292448,47447.0219977442
RandomForest,50610.305122534875,50320.96069627731,50260.113221884894,45581.78595700303
XGBoost,56394.11964015659,,55957.31974410679,46475.37108888811
