panel,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,generalization_gap
Y,18949.14019393082,116467.67744453969,74144.48475600153,43357.88345488899,210672.29231499214,160319.61310456682,55195.34456207071
+X,16232.615939517376,103930.80671609113,70600.30088851397,39429.79039117954,195048.9518111977,137830.85028625396,54367.6849489966
-Z,13993.61353010232,89970.40346614923,58429.79499392055,32800.123448135855,194081.59807618472,117672.94843563468,44436.181463818226
-X,13588.927037890715,92031.60134818527,47272.183629341904,32036.868206246294,185930.57790980578,116179.61848858291,33683.25659145119
+Z,6092.508469971973,39121.83016510979,19706.161674338902,17903.486655167926,111722.08641666987,44915.4336978025,13613.653204366929
