panel,LightGBM,RandomForest,XGBoost
+X,118539.51459821721,117801.53702451507,119641.95345747573
+Z,51427.63877192333,42144.73328105392,45440.82275842197
-X,93965.41791040024,101111.16009822318,101409.64956402668
-Z,95320.29360376396,102010.89681567819,99466.94425142354
Y,127289.19405978752,116993.66340736025,129128.59063778784
